Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review_Count,Average_Rating,Review URL,Google_Maps_URL,Latitude,Longitude,Website,Domain,Opening_hours,Featured_image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Nest N Rest - Mumbai,,"9, Metro Station",Habibunnisa Vajid Ali Compound,Hotel,088280 70720,"088280 70720, +91 88280 70720",YES,425,4.3,https://search.google.com/local/reviews?placeid=ChIJuZw-9E3J5zsRBT4mXr7MPj0&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4413189802865081861,19.0999373,72.8878101,http://www.nestnrest.in/,nestnrest.in,,https://lh5.googleusercontent.com/p/AF1QipMci5vVNGqCO7SY0Rf8DGUin11lUZase8hxAVBh=w80-h120-k-no,4.41E+18,ChIJuZw-9E3J5zsRBT4mXr7MPj0,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novotel Mumbai Juhu Beach,"Balraj Sahni Rd, Juhu, Mumbai, Maharashtra 400049",Balraj Sahni Rd,Juhu,Hotel,022 6693 4444,"022 6693 4444, +91 22 6693 4444",NO,22023,4.3,https://search.google.com/local/reviews?placeid=ChIJeW5hJJjJ5zsRRst7UJbbAQo&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=721098853997857606,19.1086096,72.824356,https://all.accor.com/hotel/6926/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps,all.accor.com,,https://lh5.googleusercontent.com/p/AF1QipOp5Y-IYuzW7GxYQrMI1RxclwnWYPU1nTTGut4H=w122-h92-k-no,7.21E+17,ChIJeW5hJJjJ5zsRRst7UJbbAQo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T2 Beacon Hotel, Andheri, Mumbai","Andheri - Kurla Rd, opp. Jarimari Temple, Jarimari, Saki Naka, Mumbai, Maharashtra 400072",Andheri - Kurla Rd,opp. Jarimari Temple,Hotel,095945 93504,"095945 93504, +91 95945 93504",YES,1606,4,https://search.google.com/local/reviews?placeid=ChIJk0rPdGTI5zsRK2Ze6s8ZOeQ&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=16445203895101056555,19.0913941,72.8826061,http://www.beaconhotels.com/our-hotels/t2-beacon-hotel-mumbai/,beaconhotels.com,,https://lh5.googleusercontent.com/p/AF1QipP_XZCLj5A4SPepLa3FenPprSNw5aXuL1ZPIDpU=w138-h92-k-no,1.64E+19,ChIJk0rPdGTI5zsRK2Ze6s8ZOeQ,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger Mumbai Andheri (MIDC),"Mahakali Caves Rd, near Holy Spirit Hospital, Sunder Nagar, Andheri East, Mumbai, Maharashtra 400093",Mahakali Caves Rd,near Holy Spirit Hospital,Hotel,1860 266 3333,"1860 266 3333, +91 1860 266 3333",YES,4086,3.7,https://search.google.com/local/reviews?placeid=ChIJraEO40PJ5zsR8zRJ8NioRhU&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1533098372863964403,19.1284906,72.8688099,https://www.gingerhotels.com/ginger-mumbai-andheri-midc?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,gingerhotels.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE0OySvoaVX9Aau6-rSIHD5i8PIkeGUhP5WGxkCJS7vYzr14_hPof2q80Xpaxx5BpaHNFrb9TQxIWm8xGTQ-mZO_GUbUFG3wY6QCGacLkwWuzYLVpllOH_UWhFHoi0zonhTkz_WcgGJL46gnc67awjkkony1-xM1Bn7dk1CVsyLyrVl-9xxrnVX=w138-h92-k-no,1.53E+18,ChIJraEO40PJ5zsR8zRJ8NioRhU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novotel Mumbai International Airport,"entrance no 3, CTS 1359, Andheri - Kurla Rd, next to Airport Metro Station, Bori Colony, Marol, Andheri East, Mumbai, Maharashtra 400059",entrance no 3,"CTS 1359, Andheri - Kurla Rd",Hotel,022 6925 8888,"022 6925 8888, +91 22 6925 8888",YES,2638,4.7,https://search.google.com/local/reviews?placeid=ChIJW9F5OxXI5zsR4KRkw4VbeFA&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5798485150306444512,19.1101526,72.8753781,https://all.accor.com/hotel/B4C0/index.en.shtml,all.accor.com,,https://lh5.googleusercontent.com/p/AF1QipPVSy7Ev5Qjosd-HzCGor0SHJA8yP61LpGC7OvW=w137-h92-k-no,5.80E+18,ChIJW9F5OxXI5zsR4KRkw4VbeFA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taj Santacruz,"Chhatrapati Shivaji Maharaj International Airport, T1, off Western Express Highway, Navpada, Vile Parle East, Santacruz East, Mumbai, Maharashtra 400099",Chhatrapati Shivaji Maharaj International Airport,T1,Hotel,022 6211 5211,"022 6211 5211, +91 22 6211 5211",YES,18509,4.7,https://search.google.com/local/reviews?placeid=ChIJu9xW47XJ5zsRrljlE9w9g2Q&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7242700641177786542,19.092607,72.8543433,https://www.tajhotels.com/en-in/hotels/taj-santacruz-mumbai?utm_source=Google&utm_medium=Local&utm_campaign=Taj-Santacruz-Mumbai,tajhotels.com,,https://lh5.googleusercontent.com/p/AF1QipM9E8-nE9fj2uZnvscVl2iuMK8i1OdpP1YaaTIt=w122-h92-k-no,7.24E+18,ChIJu9xW47XJ5zsRrljlE9w9g2Q,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juhu Residency Boutique Hotel,"148 B, Juhu Tara Rd, Airport Area, Juhu, Mumbai, Maharashtra 400049","148 B, Juhu Tara Rd","Airport Area, Juhu",Hotel,022 6783 4949,"022 6783 4949, +91 22 6783 4949",YES,981,4.4,https://search.google.com/local/reviews?placeid=ChIJTVIgeL3J5zsR4qS3PIA3FhE&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1231232572046419170,19.1011444,72.8274099,http://juhuresidency.com/,juhuresidency.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHWuOjjS4UA1f7jMEF6xkV7eXSjhKq5t4LTqcN88Ef_wPmOZ5ymfMoFLfweXLjV4m6JUuphn6w5Xo2Yi0f2z6Y8Uzv5w56uZ8547HwyBALXJ7lWAVPeUys_aJ6RuiXdjx76ibuWJAalrunSkkr-NwsNcW0SlzdAAYdx4OoUpfwtOR3wkUGSWQQ_cBkgQ4aknPuHlg=w122-h92-k-no,1.23E+18,ChIJTVIgeL3J5zsR4qS3PIA3FhE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Hyatt Mumbai Hotel & Residences,"Bandra Kurla Complex, Siddharath Nagar, Vakola, Vicinity, Mumbai, Maharashtra 400055",Bandra Kurla Complex,"Siddharath Nagar, Vakola, Vicinity",Hotel,022 6676 1234,"022 6676 1234, +91 22 6676 1234",YES,26800,4.5,https://search.google.com/local/reviews?placeid=ChIJicI_AALJ5zsRrMFrgB6LMEA&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4625349780429324716,19.0768067,72.8511248,https://www.hyatt.com/grand-hyatt/en-US/mumgh-grand-hyatt-mumbai/?src=corp_lclb_gmb_seo_mumgh,hyatt.com,,https://lh5.googleusercontent.com/p/AF1QipOx-E5lkvna_eajwn66ZMuCwuJSo_iHrj6iIJ6H=w133-h92-k-no,4.63E+18,ChIJicI_AALJ5zsRrMFrgB6LMEA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hotel Solitaire, Mumbai","Sahar International Airport Road, Opp. Domestic Airport Colony, Parsiwada, Andheri East, Mumbai, Maharashtra 400099",Sahar International Airport Road,"Opp. Domestic Airport Colony, Parsiwada",Hotel,022 6709 7777,"022 6709 7777, +91 22 6709 7777",YES,2314,4,https://search.google.com/local/reviews?placeid=ChIJQRmwMRXO5zsRzwHP57PMT0A&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4634147614647845327,19.108737,72.856335,https://solitairehotels.in/,solitairehotels.in,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF-BYATtWd5xEqWetVnYNKj2bA63nAXDfzR6t_RWnPiIK8sAktC1Z3KKYECCpGi6R-O-4_X8D6GvCDeJ6tLq-kvPNC2DTy7J6iwehCfmd1f6H9zYssmbWbWiB46vj-Uo83SY7cX_jxc_MAadnV5NqN731rNTO_mTi5DOK58VebIoVSNw55hsNI0=w80-h120-k-no,4.63E+18,ChIJQRmwMRXO5zsRzwHP57PMT0A,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ginger Mumbai, Andheri East","Teli Gali, Andheri East, Mumbai, Maharashtra 400069",Teli Gali,Andheri East,Hotel,022 6980 4100,"022 6980 4100, +91 22 6980 4100",YES,4678,3.9,https://search.google.com/local/reviews?placeid=ChIJU_mVac3J5zsRFe2Mt2GVkfI&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=17478915875725438229,19.1159308,72.8503952,https://www.gingerhotels.com/ginger-mumbai-andheri-east?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,gingerhotels.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFtkzmqu9ICBZYMwrbJzZpaaref1Ut4moWVWjdRKlVQGDV7rKRG1I80zZzWwPL-E25MuAUBbsIQIefa69tRSSsXTdFVtEc7qX-Xw8aqisGp42c3WmtCXhmg1vqfkiGBAfi3Ibd0WjMYHTYkMDXQ20oOyHrXEbV2OMdUcBWUTtKDtmQCtBoIDAPM=w138-h92-k-no,1.75E+19,ChIJU_mVac3J5zsRFe2Mt2GVkfI,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Hyatt Mumbai Hotel & Residences,"Bandra Kurla Complex, Siddharath Nagar, Vakola, Vicinity, Mumbai, Maharashtra 400055",Bandra Kurla Complex,"Siddharath Nagar, Vakola, Vicinity",Hotel,022 6676 1234,"022 6676 1234, +91 22 6676 1234",YES,26800,4.5,https://search.google.com/local/reviews?placeid=ChIJicI_AALJ5zsRrMFrgB6LMEA&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4625349780429324716,19.0768067,72.8511248,https://www.hyatt.com/grand-hyatt/en-US/mumgh-grand-hyatt-mumbai/?src=corp_lclb_gmb_seo_mumgh,hyatt.com,,https://lh5.googleusercontent.com/p/AF1QipOx-E5lkvna_eajwn66ZMuCwuJSo_iHrj6iIJ6H=w133-h92-k-no,4.63E+18,ChIJicI_AALJ5zsRrMFrgB6LMEA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novotel Mumbai International Airport,"entrance no 3, CTS 1359, Andheri - Kurla Rd, next to Airport Metro Station, Bori Colony, Marol, Andheri East, Mumbai, Maharashtra 400059",entrance no 3,"CTS 1359, Andheri - Kurla Rd",Hotel,022 6925 8888,"022 6925 8888, +91 22 6925 8888",YES,2638,4.7,https://search.google.com/local/reviews?placeid=ChIJW9F5OxXI5zsR4KRkw4VbeFA&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5798485150306444512,19.1101526,72.8753781,https://all.accor.com/hotel/B4C0/index.en.shtml,all.accor.com,,https://lh5.googleusercontent.com/p/AF1QipPVSy7Ev5Qjosd-HzCGor0SHJA8yP61LpGC7OvW=w137-h92-k-no,5.80E+18,ChIJW9F5OxXI5zsR4KRkw4VbeFA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ginger Mumbai, Andheri East","Teli Gali, Andheri East, Mumbai, Maharashtra 400069",Teli Gali,Andheri East,Hotel,022 6980 4100,"022 6980 4100, +91 22 6980 4100",YES,4678,3.9,https://search.google.com/local/reviews?placeid=ChIJU_mVac3J5zsRFe2Mt2GVkfI&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=17478915875725438229,19.1159308,72.8503952,https://www.gingerhotels.com/ginger-mumbai-andheri-east?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,gingerhotels.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFtkzmqu9ICBZYMwrbJzZpaaref1Ut4moWVWjdRKlVQGDV7rKRG1I80zZzWwPL-E25MuAUBbsIQIefa69tRSSsXTdFVtEc7qX-Xw8aqisGp42c3WmtCXhmg1vqfkiGBAfi3Ibd0WjMYHTYkMDXQ20oOyHrXEbV2OMdUcBWUTtKDtmQCtBoIDAPM=w138-h92-k-no,1.75E+19,ChIJU_mVac3J5zsRFe2Mt2GVkfI,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
